run_id,test_id,prompt_version,model,source_index,target_index,key,source_value,target_value,fuzzy_score,is_match
16fb0eb9-b593-4c9e-81cb-78f69373ec07,2,v1_original.txt,gpt-3.5-turbo,0,0,type,VerbTenseMistake,VerbTenseMistake,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,2,v1_original.txt,gpt-3.5-turbo,0,0,original,go,go,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,2,v1_original.txt,gpt-3.5-turbo,0,0,corrected,goes,goes,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,3,v1_original.txt,gpt-3.5-turbo,0,0,type,WordOrderMistake,PunctuationMistake,0.47058823529411764,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,3,v1_original.txt,gpt-3.5-turbo,0,0,original,eggs milk,eggs milk,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,3,v1_original.txt,gpt-3.5-turbo,0,0,corrected,"eggs, milk","eggs, milk",1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,4,v1_original.txt,gpt-3.5-turbo,0,0,type,VerbTenseMistake,VerbTenseMistake,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,4,v1_original.txt,gpt-3.5-turbo,0,0,original,have went,went,0.6153846153846154,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,4,v1_original.txt,gpt-3.5-turbo,0,0,corrected,have gone,gone,0.6153846153846154,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,5,v1_original.txt,gpt-3.5-turbo,0,0,type,ComparativeFormMistake,ComparativeFormMistake,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,5,v1_original.txt,gpt-3.5-turbo,0,0,original,more faster,more faster,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,5,v1_original.txt,gpt-3.5-turbo,0,0,corrected,faster,faster,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,6,v1_original.txt,gpt-3.5-turbo,0,0,type,VerbTenseMistake,VerbTenseMistake,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,6,v1_original.txt,gpt-3.5-turbo,0,0,original,don't,don't,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,6,v1_original.txt,gpt-3.5-turbo,0,0,corrected,doesn't,doesn't,1.0,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,7,v1_original.txt,gpt-3.5-turbo,0,0,type,ComparativeFormMistake,WrongWordMistake,0.5263157894736842,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,7,v1_original.txt,gpt-3.5-turbo,0,0,original,taller then,then,0.5333333333333333,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,7,v1_original.txt,gpt-3.5-turbo,0,0,corrected,taller than,than,0.5333333333333333,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,8,v1_original.txt,gpt-3.5-turbo,0,0,type,WordOrderMistake,WrongPrepositionMistake,0.5641025641025641,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,8,v1_original.txt,gpt-3.5-turbo,0,0,original,entered to the room,entered to,0.6896551724137931,False
16fb0eb9-b593-4c9e-81cb-78f69373ec07,8,v1_original.txt,gpt-3.5-turbo,0,0,corrected,entered the room,entered,0.6086956521739131,False
